0,False,False,False,False,False,-,False,-,-,-,-,-
1,False,False,False,False,False,-,False,-,-,-,-,-
2,False,False,False,False,False,-,False,-,-,-,-,-
3,False,False,False,False,False,-,False,-,-,-,-,-
4,False,False,False,False,False,-,False,-,-,-,-,-
5,False,False,False,False,False,-,False,-,-,-,-,-
6,False,False,False,False,False,-,False,-,-,-,-,-
7,False,False,False,False,False,-,False,-,-,-,-,-
8,False,False,False,False,False,-,False,-,-,-,-,-
9,False,False,False,False,False,-,False,-,-,-,-,-
10,False,False,False,False,False,-,False,-,-,-,-,-
11,False,False,False,False,False,-,False,-,-,-,-,-
12,False,False,False,False,False,-,False,-,-,-,-,-
13,False,False,False,False,False,-,False,-,-,-,-,-
14,False,False,False,False,False,-,False,-,-,-,-,-
15,False,False,False,False,False,-,False,-,-,-,-,-
16,False,False,True,False,False,-,False,-,-,-,-,-
17,False,False,True,False,False,-,False,-,-,-,-,-
18,True,True,True,False,False,-,False,-,-,-,-,-
19,True,True,True,False,False,-,False,-,-,-,-,-
20,True,True,True,False,False,-,False,-,-,-,-,-
21,True,True,True,False,False,-,False,-,-,-,-,-
22,True,True,True,False,False,-,False,-,-,-,-,-
23,True,True,True,False,False,-,False,-,-,-,-,-
24,True,False,False,False,False,-,False,-,-,-,-,-
25,True,False,False,False,False,-,False,-,-,-,-,-
26,False,False,False,False,False,-,False,-,-,-,-,-
27,False,False,False,False,False,-,False,-,-,-,-,-
28,False,False,False,False,False,-,False,-,-,-,-,-
29,False,False,False,False,False,-,False,-,-,-,-,-
30,False,False,False,False,False,-,False,-,-,-,-,-
31,False,False,False,False,False,-,False,-,-,-,-,-
32,False,False,False,False,False,-,False,-,-,-,-,-
33,False,False,False,False,False,-,False,-,-,-,-,-
34,False,False,False,False,False,-,False,-,-,-,-,-
35,False,False,False,False,False,-,False,-,-,-,-,-
36,False,False,False,False,False,-,False,-,-,-,-,-
37,False,False,False,False,False,-,False,-,-,-,-,-
38,False,False,False,False,False,-,False,-,-,-,-,-
39,False,False,False,False,False,-,False,-,-,-,-,-
40,False,False,False,False,False,-,False,-,-,-,-,-
41,False,False,False,False,False,-,False,-,-,-,-,-
42,False,False,False,False,False,-,False,-,-,-,-,-
43,False,False,False,False,False,-,False,-,-,-,-,-
44,False,False,False,True,False,-,False,-,-,-,-,-
45,False,False,False,False,False,-,False,-,-,-,-,-
46,False,False,False,False,False,-,False,-,-,-,-,-
47,False,False,False,False,False,-,False,-,-,-,-,-
48,False,False,False,False,False,-,False,-,-,-,-,-
49,False,False,False,False,False,-,False,-,-,-,-,-
50,False,False,False,False,False,-,False,-,-,-,-,-
51,False,False,False,False,False,-,False,-,-,-,-,-
52,False,False,False,False,False,-,False,-,-,-,-,-
53,False,False,False,False,False,-,False,-,-,-,-,-
54,False,False,False,False,False,-,False,-,-,-,-,-
55,False,False,False,False,False,-,False,-,-,-,-,-
56,False,False,False,False,False,-,False,-,-,-,-,-
57,False,False,False,False,False,-,False,-,-,-,-,-
58,False,False,False,False,False,-,False,-,-,-,-,-
59,False,False,False,False,False,-,False,-,-,-,-,-
60,False,False,False,False,False,-,False,-,-,-,-,-
61,False,False,False,False,False,-,False,-,-,-,-,-
62,False,False,False,True,False,-,False,-,-,-,-,-
63,False,False,False,False,False,-,False,-,-,-,-,-
64,False,False,False,False,False,-,False,-,-,-,-,-
65,False,False,False,False,False,-,False,-,-,-,-,-
66,False,False,False,False,False,-,False,-,-,-,-,-
67,False,False,False,False,False,-,False,-,-,-,-,-
68,False,False,False,False,False,-,True,-,-,-,-,-
69,False,False,False,False,False,-,True,-,-,-,-,-
70,False,False,False,False,False,-,True,-,-,-,-,-
71,False,False,False,False,False,-,True,-,-,-,-,-
72,False,False,False,True,False,-,True,-,-,-,-,-
73,False,False,False,False,False,-,True,-,-,-,-,-
74,False,False,False,True,True,-,True,-,-,-,-,-
75,False,False,False,False,False,-,True,-,-,-,-,-
76,False,False,False,True,True,-,True,-,-,-,-,-
77,False,False,False,False,False,-,True,-,-,-,-,-
78,False,False,False,True,True,-,True,-,-,-,-,-
79,False,False,False,False,False,-,True,-,-,-,-,-
80,False,False,False,True,False,-,True,-,-,-,-,-
