142,False,False,-,-,-,False,False,False,False,-,-,False
143,True,False,-,-,-,False,False,False,False,-,-,False
144,True,False,-,-,-,False,False,False,False,-,-,False
145,True,False,-,-,-,False,False,False,False,-,-,False
146,False,False,-,-,-,False,False,False,False,-,-,False
147,True,False,-,-,-,False,False,False,False,-,-,False
148,False,False,-,-,-,False,False,False,False,-,-,False
149,True,False,-,-,-,False,False,False,False,-,-,False
150,False,False,-,-,-,False,False,False,False,-,-,False
151,True,False,-,-,-,False,False,False,False,-,-,False
152,False,False,-,-,-,False,False,False,False,-,-,False
153,True,False,-,-,-,False,False,False,False,-,-,False
154,True,False,-,-,-,False,False,False,False,-,-,False
155,True,False,-,-,-,False,False,False,False,-,-,False
156,False,False,-,-,-,False,False,False,False,-,-,False
157,True,False,-,-,-,False,False,False,False,-,-,False
158,False,False,-,-,-,False,False,False,False,-,-,False
159,True,False,-,-,-,False,False,False,False,-,-,False
160,True,False,-,-,-,False,False,False,False,-,-,False
161,True,False,-,-,-,False,False,False,False,-,-,False
162,True,False,-,-,-,False,False,False,False,-,-,False
163,True,False,-,-,-,False,False,False,False,-,-,False
164,True,False,-,-,-,False,False,False,False,-,-,False
165,True,False,-,-,-,False,False,False,False,-,-,False
166,True,False,-,-,-,False,False,False,False,-,-,False
167,True,False,-,-,-,False,False,False,False,-,-,False
168,True,False,-,-,-,False,False,False,False,-,-,False
169,True,False,-,-,-,False,False,False,False,-,-,False
170,True,False,-,-,-,False,False,False,False,-,-,False
171,True,False,-,-,-,False,False,False,False,-,-,False
172,True,False,-,-,-,False,False,False,False,-,-,False
173,True,False,-,-,-,False,False,False,False,-,-,False
174,False,False,-,-,-,False,False,False,False,-,-,False
175,True,False,-,-,-,False,False,False,False,-,-,False
176,True,False,-,-,-,False,False,False,False,-,-,False
177,True,False,-,-,-,False,False,False,False,-,-,False
178,True,False,-,-,-,False,False,False,False,-,-,False
179,True,False,-,-,-,False,False,False,False,-,-,False
180,True,False,-,-,-,False,False,False,False,-,-,False
181,True,False,-,-,-,False,False,False,False,-,-,False
182,True,False,-,-,-,False,False,False,False,-,-,False
183,True,False,-,-,-,False,False,False,False,-,-,False
184,True,False,-,-,-,False,False,False,False,-,-,False
185,True,False,-,-,-,False,False,False,False,-,-,False
186,True,False,-,-,-,False,False,False,False,-,-,False
187,True,False,-,-,-,False,False,False,False,-,-,False
188,True,False,-,-,-,False,False,False,False,-,-,False
189,True,False,-,-,-,False,False,False,False,-,-,False
190,True,False,-,-,-,False,False,False,False,-,-,False
191,True,False,-,-,-,False,False,False,False,-,-,False
192,True,False,-,-,-,False,False,False,False,-,-,False
193,True,False,-,-,-,False,False,False,False,-,-,False
194,True,False,-,-,-,False,False,False,False,-,-,False
195,True,False,-,-,-,False,False,False,False,-,-,False
196,True,False,-,-,-,False,False,False,False,-,-,False
197,True,False,-,-,-,False,False,False,False,-,-,False
198,True,False,-,-,-,False,False,False,False,-,-,False
199,True,False,-,-,-,False,False,False,False,-,-,False
200,True,False,-,-,-,False,False,False,False,-,-,False
201,True,False,-,-,-,False,False,False,False,-,-,False
202,True,False,-,-,-,False,False,False,False,-,-,False
203,True,False,-,-,-,False,False,False,False,-,-,False
204,True,False,-,-,-,False,False,False,False,-,-,False
205,True,False,-,-,-,False,False,False,False,-,-,False
206,True,False,-,-,-,False,False,False,False,-,-,False
207,True,False,-,-,-,False,False,False,False,-,-,False
208,True,False,-,-,-,False,False,False,False,-,-,False
209,True,False,-,-,-,False,False,False,False,-,-,False
210,True,False,-,-,-,False,False,False,False,-,-,False
211,True,False,-,-,-,False,False,False,False,-,-,False
212,True,False,-,-,-,False,False,False,False,-,-,False
213,True,False,-,-,-,False,False,False,False,-,-,False
214,True,False,-,-,-,False,False,False,False,-,-,False
215,True,False,-,-,-,False,False,False,False,-,-,False
216,True,False,-,-,-,False,False,False,False,-,-,False
217,True,False,-,-,-,False,False,False,False,-,-,False
218,True,False,-,-,-,False,False,False,False,-,-,False
219,True,False,-,-,-,False,False,False,False,-,-,False
220,True,False,-,-,-,False,False,False,False,-,-,False
221,True,False,-,-,-,False,False,False,False,-,-,False
222,True,False,-,-,-,False,False,False,False,-,-,False
223,True,False,-,-,-,False,False,False,False,-,-,False
224,True,False,-,-,-,False,False,False,False,-,-,False
225,True,False,-,-,-,False,False,False,False,-,-,False
226,True,False,-,-,-,False,False,False,False,-,-,False
227,True,False,-,-,-,False,False,False,False,-,-,False
228,True,False,-,-,-,False,False,False,False,-,-,False
229,True,False,-,-,-,False,False,False,False,-,-,False
230,True,False,-,-,-,False,False,False,False,-,-,False
231,True,False,-,-,-,False,False,False,False,-,-,False
232,True,False,-,-,-,False,False,False,False,-,-,False
233,True,False,-,-,-,False,False,False,False,-,-,False
234,True,False,-,-,-,False,False,False,False,-,-,False
235,True,False,-,-,-,False,False,False,False,-,-,False
236,True,False,-,-,-,False,False,False,False,-,-,False
237,True,False,-,-,-,False,False,False,False,-,-,False
238,True,False,-,-,-,False,False,False,False,-,-,False
239,True,False,-,-,-,False,False,False,False,-,-,False
240,True,False,-,-,-,False,False,False,False,-,-,False
241,True,False,-,-,-,False,False,False,False,-,-,False
242,True,False,-,-,-,False,False,False,False,-,-,False
243,True,False,-,-,-,False,False,False,False,-,-,False
244,True,False,-,-,-,False,False,False,False,-,-,False
245,True,False,-,-,-,False,False,False,False,-,-,False
246,True,False,-,-,-,False,False,False,False,-,-,False
247,True,False,-,-,-,False,False,False,False,-,-,False
248,True,False,-,-,-,False,False,False,False,-,-,False
249,True,False,-,-,-,False,False,False,False,-,-,False
250,True,False,-,-,-,False,False,False,False,-,-,False
251,True,False,-,-,-,False,False,False,False,-,-,False
252,True,False,-,-,-,False,False,False,False,-,-,False
253,True,False,-,-,-,False,False,False,False,-,-,False
254,True,False,-,-,-,False,False,False,False,-,-,False
255,True,False,-,-,-,False,False,False,False,-,-,False
256,True,False,-,-,-,False,False,False,False,-,-,False
257,True,False,-,-,-,False,False,False,False,-,-,False
258,True,False,-,-,-,False,False,False,False,-,-,False
259,True,False,-,-,-,False,False,False,False,-,-,False
260,True,False,-,-,-,False,False,False,False,-,-,False
261,True,False,-,-,-,False,False,False,False,-,-,False
262,True,False,-,-,-,False,False,False,False,-,-,False
263,True,False,-,-,-,False,False,False,False,-,-,False
264,True,False,-,-,-,False,False,False,False,-,-,False
265,True,False,-,-,-,False,False,False,False,-,-,False
266,True,False,-,-,-,False,False,False,False,-,-,False
267,True,False,-,-,-,False,False,False,False,-,-,False
268,True,False,-,-,-,False,False,False,False,-,-,False
269,True,False,-,-,-,False,False,False,False,-,-,False
270,True,False,-,-,-,False,False,False,False,-,-,False
271,True,False,-,-,-,False,False,False,False,-,-,False
272,True,False,-,-,-,False,False,False,False,-,-,False
273,True,False,-,-,-,False,False,False,False,-,-,False
274,True,False,-,-,-,False,False,False,False,-,-,False
275,True,False,-,-,-,False,False,False,False,-,-,False
276,True,False,-,-,-,False,False,False,False,-,-,False
277,True,False,-,-,-,False,False,False,False,-,-,False
278,True,False,-,-,-,False,False,False,False,-,-,False
279,True,False,-,-,-,False,False,False,False,-,-,False
280,True,False,-,-,-,False,False,False,False,-,-,False
281,True,False,-,-,-,False,False,False,False,-,-,False
282,True,False,-,-,-,False,False,False,False,-,-,False
283,True,False,-,-,-,False,False,False,False,-,-,False
284,True,False,-,-,-,False,False,False,False,-,-,False
285,True,False,-,-,-,False,False,False,False,-,-,False
286,True,False,-,-,-,False,False,False,False,-,-,False
287,True,False,-,-,-,False,False,False,False,-,-,False
288,True,False,-,-,-,False,False,False,False,-,-,False
289,True,False,-,-,-,False,False,False,False,-,-,False
290,True,False,-,-,-,False,False,False,False,-,-,False
291,True,False,-,-,-,False,False,False,False,-,-,False
292,True,False,-,-,-,False,False,False,False,-,-,False
293,True,False,-,-,-,False,False,False,False,-,-,False
294,True,False,-,-,-,False,False,False,False,-,-,False
295,True,False,-,-,-,False,False,False,False,-,-,False
296,True,False,-,-,-,False,False,False,False,-,-,False
297,True,False,-,-,-,False,False,False,False,-,-,False
298,True,False,-,-,-,False,False,False,False,-,-,False
299,True,False,-,-,-,False,False,False,False,-,-,False
300,True,False,-,-,-,False,False,False,False,-,-,False
301,True,False,-,-,-,False,False,False,False,-,-,False
302,True,False,-,-,-,False,False,False,False,-,-,False
303,True,False,-,-,-,False,False,False,False,-,-,False
304,True,False,-,-,-,False,False,False,False,-,-,False
305,True,False,-,-,-,False,False,False,False,-,-,False
306,True,False,-,-,-,False,False,False,False,-,-,False
307,True,False,-,-,-,False,False,False,False,-,-,False
308,True,False,-,-,-,False,False,False,False,-,-,False
309,True,False,-,-,-,False,False,False,False,-,-,False
310,True,False,-,-,-,False,False,False,False,-,-,False
311,True,False,-,-,-,False,False,False,False,-,-,False
312,True,False,-,-,-,False,False,False,False,-,-,False
313,True,False,-,-,-,False,False,False,False,-,-,False
314,True,False,-,-,-,False,False,False,False,-,-,False
315,True,False,-,-,-,False,False,False,False,-,-,False
316,True,False,-,-,-,False,False,False,False,-,-,False
317,True,False,-,-,-,False,False,False,False,-,-,False
318,True,False,-,-,-,False,False,False,False,-,-,False
319,True,False,-,-,-,False,False,False,False,-,-,False
320,True,False,-,-,-,False,False,False,False,-,-,False
321,True,False,-,-,-,False,False,False,False,-,-,False
322,True,False,-,-,-,False,False,False,False,-,-,False
323,True,False,-,-,-,False,False,False,False,-,-,False
324,True,False,-,-,-,False,False,False,False,-,-,False
325,True,False,-,-,-,False,False,False,False,-,-,False
326,True,False,-,-,-,False,False,False,False,-,-,False
327,True,False,-,-,-,False,False,False,False,-,-,False
328,True,False,-,-,-,False,False,False,False,-,-,False
329,True,False,-,-,-,False,False,False,False,-,-,False
330,True,False,-,-,-,False,False,False,False,-,-,False
331,True,False,-,-,-,False,False,False,False,-,-,False
332,True,False,-,-,-,False,False,False,False,-,-,False
333,True,False,-,-,-,False,False,False,False,-,-,False
334,True,False,-,-,-,False,False,False,False,-,-,False
335,True,False,-,-,-,False,False,False,False,-,-,False
336,True,False,-,-,-,False,False,False,False,-,-,False
337,True,False,-,-,-,False,False,False,False,-,-,False
338,True,False,-,-,-,False,False,False,False,-,-,False
339,True,False,-,-,-,False,False,False,False,-,-,False
340,True,False,-,-,-,False,False,False,False,-,-,False
341,True,False,-,-,-,False,False,False,False,-,-,False
342,True,False,-,-,-,False,False,False,False,-,-,False
343,True,False,-,-,-,False,False,False,False,-,-,False
344,True,False,-,-,-,False,False,False,False,-,-,False
345,True,False,-,-,-,False,False,False,False,-,-,False
346,True,False,-,-,-,False,False,False,False,-,-,False
347,True,False,-,-,-,False,False,False,False,-,-,False
348,True,False,-,-,-,False,False,False,False,-,-,False
349,True,False,-,-,-,False,False,False,False,-,-,False
350,True,False,-,-,-,False,False,False,False,-,-,False
351,True,False,-,-,-,False,False,False,False,-,-,False
352,True,False,-,-,-,False,False,False,False,-,-,False
353,True,False,-,-,-,False,False,False,False,-,-,False
354,True,False,-,-,-,False,False,False,False,-,-,False
355,True,False,-,-,-,False,False,False,False,-,-,False
356,True,False,-,-,-,False,False,False,False,-,-,False
357,True,False,-,-,-,False,False,False,False,-,-,False
358,True,False,-,-,-,False,False,False,False,-,-,False
359,True,False,-,-,-,False,False,False,False,-,-,False
360,True,False,-,-,-,False,False,False,False,-,-,False
361,True,False,-,-,-,False,False,False,False,-,-,False
362,True,False,-,-,-,False,False,False,False,-,-,False
363,True,False,-,-,-,False,False,False,False,-,-,False
364,True,False,-,-,-,False,False,False,False,-,-,False
365,True,False,-,-,-,False,False,False,False,-,-,False
366,True,False,-,-,-,False,False,False,False,-,-,False
367,True,False,-,-,-,False,False,False,False,-,-,False
368,True,False,-,-,-,False,False,False,False,-,-,False
369,True,False,-,-,-,False,False,False,False,-,-,False
370,True,False,-,-,-,False,False,False,False,-,-,False
371,True,False,-,-,-,False,False,False,False,-,-,False
372,True,False,-,-,-,False,False,False,False,-,-,False
373,True,False,-,-,-,False,False,False,False,-,-,False
374,True,False,-,-,-,False,False,False,False,-,-,False
375,True,False,-,-,-,False,False,False,False,-,-,False
376,True,False,-,-,-,False,False,False,False,-,-,False
377,True,False,-,-,-,False,False,False,False,-,-,False
378,True,False,-,-,-,False,False,False,False,-,-,False
379,True,False,-,-,-,False,False,False,False,-,-,False
380,True,False,-,-,-,False,False,False,False,-,-,False
381,True,False,-,-,-,False,False,False,False,-,-,False
382,True,False,-,-,-,False,False,False,False,-,-,False
383,True,False,-,-,-,False,False,False,False,-,-,False
384,True,False,-,-,-,False,False,False,False,-,-,False
385,True,False,-,-,-,False,False,False,False,-,-,False
386,True,False,-,-,-,False,False,False,False,-,-,False
387,True,False,-,-,-,False,False,False,False,-,-,False
388,True,False,-,-,-,False,False,False,False,-,-,False
389,True,False,-,-,-,False,False,False,False,-,-,False
390,True,False,-,-,-,False,False,False,False,-,-,False
391,True,False,-,-,-,False,False,False,False,-,-,False
392,True,False,-,-,-,False,False,False,False,-,-,False
393,True,False,-,-,-,False,False,False,False,-,-,False
394,True,False,-,-,-,False,False,False,False,-,-,False
395,True,False,-,-,-,False,False,False,False,-,-,False
396,True,False,-,-,-,False,False,False,False,-,-,False
397,True,False,-,-,-,False,False,False,False,-,-,False
398,True,False,-,-,-,False,False,False,False,-,-,False
399,True,False,-,-,-,False,False,False,False,-,-,False
400,True,False,-,-,-,False,False,False,False,-,-,False
401,True,False,-,-,-,False,False,False,False,-,-,False
402,True,False,-,-,-,False,False,False,False,-,-,False
403,True,False,-,-,-,False,False,False,False,-,-,False
404,True,False,-,-,-,False,False,False,False,-,-,False
405,True,False,-,-,-,False,False,False,False,-,-,False
406,True,False,-,-,-,False,False,False,False,-,-,False
407,True,False,-,-,-,False,False,False,False,-,-,False
408,True,False,-,-,-,False,False,False,False,-,-,False
409,True,False,-,-,-,False,False,False,False,-,-,False
410,True,False,-,-,-,False,False,False,False,-,-,False
411,True,False,-,-,-,False,False,False,False,-,-,False
412,True,False,-,-,-,False,False,False,False,-,-,False
413,True,False,-,-,-,False,False,False,False,-,-,False
414,True,False,-,-,-,False,False,False,False,-,-,False
415,True,False,-,-,-,False,False,False,False,-,-,False
416,True,False,-,-,-,False,False,False,False,-,-,False
417,True,False,-,-,-,False,False,False,False,-,-,False
418,True,False,-,-,-,False,False,False,False,-,-,False
419,True,False,-,-,-,False,False,False,False,-,-,False
420,True,False,-,-,-,False,False,False,False,-,-,False
421,True,False,-,-,-,False,False,False,False,-,-,False
422,True,False,-,-,-,False,False,False,False,-,-,False
423,True,False,-,-,-,False,False,False,False,-,-,False
424,True,False,-,-,-,False,False,False,False,-,-,False
425,True,False,-,-,-,False,False,False,False,-,-,False
426,True,False,-,-,-,False,False,False,False,-,-,False
427,True,False,-,-,-,False,False,False,False,-,-,False
428,True,False,-,-,-,False,False,False,False,-,-,False
429,True,False,-,-,-,False,False,False,False,-,-,False
430,True,False,-,-,-,False,False,False,False,-,-,False
431,True,False,-,-,-,False,False,False,False,-,-,False
432,True,False,-,-,-,False,False,False,False,-,-,False
433,True,False,-,-,-,False,False,False,False,-,-,False
434,True,False,-,-,-,False,False,False,False,-,-,False
435,True,False,-,-,-,False,False,False,False,-,-,False
436,True,False,-,-,-,False,False,False,False,-,-,False
437,True,False,-,-,-,False,False,False,False,-,-,False
438,True,False,-,-,-,False,False,False,False,-,-,False
439,True,False,-,-,-,False,False,False,False,-,-,False
440,True,False,-,-,-,False,False,False,False,-,-,False
441,True,False,-,-,-,False,False,False,False,-,-,False
442,True,False,-,-,-,False,False,False,False,-,-,False
443,True,False,-,-,-,False,False,False,False,-,-,False
444,True,False,-,-,-,False,False,False,False,-,-,False
445,True,False,-,-,-,False,False,False,False,-,-,False
446,True,False,-,-,-,False,False,False,False,-,-,False
447,True,False,-,-,-,False,False,False,False,-,-,False
448,True,False,-,-,-,False,False,False,False,-,-,False
449,True,False,-,-,-,False,False,False,False,-,-,False
450,True,False,-,-,-,False,False,False,False,-,-,False
451,True,False,-,-,-,False,False,False,False,-,-,False
452,True,False,-,-,-,False,False,False,False,-,-,False
453,True,False,-,-,-,False,False,False,False,-,-,False
454,True,False,-,-,-,False,False,False,False,-,-,False
455,True,False,-,-,-,False,False,False,False,-,-,False
456,True,False,-,-,-,False,False,False,False,-,-,False
457,True,False,-,-,-,False,False,False,False,-,-,False
458,True,False,-,-,-,False,False,False,False,-,-,False
459,True,False,-,-,-,False,False,False,False,-,-,False
460,True,False,-,-,-,False,False,False,False,-,-,False
461,True,False,-,-,-,False,False,False,False,-,-,False
462,True,False,-,-,-,False,False,False,False,-,-,False
463,True,False,-,-,-,False,False,False,False,-,-,False
464,True,False,-,-,-,False,False,False,False,-,-,False
465,True,False,-,-,-,False,False,False,False,-,-,False
466,True,False,-,-,-,False,False,False,False,-,-,False
467,True,False,-,-,-,False,False,False,False,-,-,False
468,True,False,-,-,-,False,False,False,False,-,-,False
469,True,False,-,-,-,False,False,False,False,-,-,False
470,True,False,-,-,-,False,False,False,False,-,-,False
471,True,False,-,-,-,False,False,False,False,-,-,False
472,True,False,-,-,-,False,False,False,False,-,-,False
473,True,False,-,-,-,False,False,False,False,-,-,False
474,True,False,-,-,-,False,False,False,False,-,-,False
475,True,False,-,-,-,False,False,False,False,-,-,False
476,True,False,-,-,-,False,False,False,False,-,-,False
477,True,False,-,-,-,False,False,False,False,-,-,False
478,True,False,-,-,-,False,False,False,False,-,-,False
479,True,False,-,-,-,False,False,False,False,-,-,False
480,True,False,-,-,-,False,False,False,False,-,-,False
481,True,False,-,-,-,False,False,False,False,-,-,False
482,True,False,-,-,-,False,False,False,False,-,-,False
483,False,True,-,-,-,False,False,False,False,-,-,False
484,True,False,-,-,-,False,False,False,False,-,-,False
485,True,True,-,-,-,False,False,False,False,-,-,False
486,True,False,-,-,-,False,False,False,False,-,-,False
487,True,False,-,-,-,False,False,False,False,-,-,False
488,True,False,-,-,-,False,False,False,False,-,-,False
489,True,False,-,-,-,False,False,False,False,-,-,False
490,True,False,-,-,-,False,False,False,False,-,-,False
491,False,True,-,-,-,False,False,False,False,-,-,False
492,True,False,-,-,-,False,False,False,False,-,-,False
493,False,True,-,-,-,False,False,False,False,-,-,False
494,True,False,-,-,-,False,False,False,False,-,-,False
495,False,True,-,-,-,False,False,False,False,-,-,False
496,False,True,-,-,-,False,False,False,False,-,-,False
497,False,True,-,-,-,False,False,False,False,-,-,False
498,True,False,-,-,-,False,False,False,False,-,-,False
499,False,True,-,-,-,False,False,False,False,-,-,False
500,True,False,-,-,-,False,False,False,False,-,-,False
501,False,True,-,-,-,False,False,False,False,-,-,False
502,True,False,-,-,-,False,False,False,False,-,-,False
503,False,True,-,-,-,False,False,False,False,-,-,False
504,True,False,-,-,-,False,False,False,False,-,-,False
505,False,True,-,-,-,False,False,False,False,-,-,False
506,True,False,-,-,-,False,False,False,False,-,-,False
507,False,True,-,-,-,False,False,False,False,-,-,False
508,True,False,-,-,-,False,False,False,False,-,-,False
509,False,True,-,-,-,False,False,False,False,-,-,False
510,True,False,-,-,-,False,False,False,False,-,-,False
511,False,True,-,-,-,False,False,False,False,-,-,False
512,True,False,-,-,-,False,False,False,False,-,-,False
513,False,True,-,-,-,False,False,False,False,-,-,False
514,True,False,-,-,-,False,False,False,False,-,-,False
515,False,True,-,-,-,False,False,False,False,-,-,False
516,True,False,-,-,-,False,False,False,False,-,-,False
517,False,True,-,-,-,False,False,False,False,-,-,False
518,True,False,-,-,-,False,False,False,False,-,-,False
519,False,True,-,-,-,False,False,False,False,-,-,False
520,True,False,-,-,-,False,False,False,False,-,-,False
521,False,True,-,-,-,False,False,False,False,-,-,False
522,True,False,-,-,-,False,False,False,False,-,-,False
523,False,True,-,-,-,False,False,False,False,-,-,False
524,True,False,-,-,-,False,False,False,False,-,-,False
525,False,True,-,-,-,False,False,False,False,-,-,False
526,True,False,-,-,-,False,False,False,False,-,-,False
527,False,True,-,-,-,False,False,False,False,-,-,False
528,True,False,-,-,-,False,False,False,False,-,-,False
529,False,True,-,-,-,False,False,False,False,-,-,False
530,True,False,-,-,-,False,False,False,False,-,-,False
531,False,True,-,-,-,False,False,False,False,-,-,False
532,True,False,-,-,-,False,False,False,False,-,-,False
533,False,True,-,-,-,False,False,False,False,-,-,False
534,True,False,-,-,-,False,False,False,False,-,-,False
535,False,True,-,-,-,False,False,False,False,-,-,False
536,True,False,-,-,-,False,False,False,False,-,-,False
537,False,True,-,-,-,False,False,False,False,-,-,False
