0,-,-,-,-,False,False,-,False,-,-,-,-
1,-,-,-,-,False,False,-,False,-,-,-,-
2,-,-,-,-,False,False,-,False,-,-,-,-
3,-,-,-,-,False,False,-,False,-,-,-,-
4,-,-,-,-,False,False,-,False,-,-,-,-
5,-,-,-,-,False,False,-,False,-,-,-,-
6,-,-,-,-,False,False,-,False,-,-,-,-
7,-,-,-,-,False,False,-,False,-,-,-,-
8,-,-,-,-,False,False,-,False,-,-,-,-
9,-,-,-,-,False,False,-,False,-,-,-,-
10,-,-,-,-,False,False,-,False,-,-,-,-
11,-,-,-,-,False,False,-,False,-,-,-,-
12,-,-,-,-,False,False,-,False,-,-,-,-
13,-,-,-,-,False,False,-,False,-,-,-,-
14,-,-,-,-,False,False,-,False,-,-,-,-
15,-,-,-,-,False,False,-,False,-,-,-,-
16,-,-,-,-,False,False,-,False,-,-,-,-
17,-,-,-,-,False,False,-,False,-,-,-,-
18,-,-,-,-,False,True,-,False,-,-,-,-
19,-,-,-,-,False,True,-,False,-,-,-,-
20,-,-,-,-,False,True,-,False,-,-,-,-
21,-,-,-,-,False,True,-,False,-,-,-,-
22,-,-,-,-,False,True,-,False,-,-,-,-
23,-,-,-,-,False,True,-,False,-,-,-,-
24,-,-,-,-,False,True,-,False,-,-,-,-
25,-,-,-,-,False,True,-,False,-,-,-,-
26,-,-,-,-,False,False,-,False,-,-,-,-
27,-,-,-,-,False,False,-,False,-,-,-,-
28,-,-,-,-,False,False,-,False,-,-,-,-
29,-,-,-,-,False,False,-,False,-,-,-,-
30,-,-,-,-,False,False,-,False,-,-,-,-
31,-,-,-,-,False,False,-,False,-,-,-,-
32,-,-,-,-,False,False,-,False,-,-,-,-
33,-,-,-,-,False,False,-,False,-,-,-,-
34,-,-,-,-,False,False,-,False,-,-,-,-
35,-,-,-,-,False,False,-,False,-,-,-,-
36,-,-,-,-,False,False,-,False,-,-,-,-
37,-,-,-,-,False,False,-,False,-,-,-,-
38,-,-,-,-,False,False,-,False,-,-,-,-
39,-,-,-,-,False,False,-,False,-,-,-,-
40,-,-,-,-,False,False,-,False,-,-,-,-
41,-,-,-,-,False,False,-,False,-,-,-,-
42,-,-,-,-,True,False,-,False,-,-,-,-
43,-,-,-,-,True,False,-,False,-,-,-,-
44,-,-,-,-,True,False,-,False,-,-,-,-
45,-,-,-,-,True,False,-,False,-,-,-,-
46,-,-,-,-,True,False,-,False,-,-,-,-
47,-,-,-,-,True,False,-,False,-,-,-,-
48,-,-,-,-,True,False,-,False,-,-,-,-
49,-,-,-,-,False,False,-,False,-,-,-,-
50,-,-,-,-,False,False,-,False,-,-,-,-
51,-,-,-,-,True,False,-,False,-,-,-,-
52,-,-,-,-,False,False,-,False,-,-,-,-
53,-,-,-,-,False,False,-,False,-,-,-,-
54,-,-,-,-,True,False,-,False,-,-,-,-
55,-,-,-,-,False,False,-,False,-,-,-,-
56,-,-,-,-,False,False,-,False,-,-,-,-
57,-,-,-,-,False,False,-,False,-,-,-,-
58,-,-,-,-,True,False,-,False,-,-,-,-
59,-,-,-,-,True,False,-,False,-,-,-,-
60,-,-,-,-,False,False,-,False,-,-,-,-
61,-,-,-,-,False,False,-,False,-,-,-,-
62,-,-,-,-,False,False,-,False,-,-,-,-
63,-,-,-,-,False,False,-,False,-,-,-,-
64,-,-,-,-,False,False,-,False,-,-,-,-
65,-,-,-,-,False,False,-,False,-,-,-,-
66,-,-,-,-,False,False,-,False,-,-,-,-
67,-,-,-,-,False,False,-,False,-,-,-,-
68,-,-,-,-,False,False,-,False,-,-,-,-
69,-,-,-,-,False,False,-,False,-,-,-,-
70,-,-,-,-,False,False,-,False,-,-,-,-
71,-,-,-,-,False,False,-,False,-,-,-,-
72,-,-,-,-,False,False,-,False,-,-,-,-
73,-,-,-,-,False,False,-,False,-,-,-,-
74,-,-,-,-,False,False,-,False,-,-,-,-
75,-,-,-,-,False,False,-,False,-,-,-,-
76,-,-,-,-,False,False,-,False,-,-,-,-
