Step,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12
0,True,False,False,False,True,False,False,False,False,False,False,False
1,True,False,False,False,True,False,False,False,False,False,False,False
2,True,False,False,False,True,False,False,False,False,False,False,False
3,True,False,False,False,True,False,False,False,False,False,False,False
4,True,False,False,False,True,False,False,False,False,False,False,False
5,True,False,False,False,True,False,False,False,False,False,False,False
6,True,False,False,False,True,False,False,False,False,False,False,False
7,True,False,False,False,True,False,False,False,False,False,False,False
8,True,False,False,False,True,False,False,False,False,False,False,False
9,True,False,False,False,True,False,False,False,False,False,False,False
10,True,False,False,False,True,False,False,False,False,False,False,False
11,True,False,False,False,True,False,False,False,False,False,False,False
12,True,False,False,False,True,False,False,False,False,False,False,False
13,True,False,False,False,True,False,False,False,False,False,False,False
14,True,False,False,False,True,False,False,False,False,False,False,False
15,True,False,False,False,True,False,False,False,False,False,False,False
16,True,False,False,False,True,False,False,False,False,False,False,False
17,True,False,False,False,True,False,False,False,False,False,False,False
18,True,False,False,False,True,False,False,False,False,False,False,False
19,True,False,False,False,True,False,False,False,False,False,False,False
20,True,False,False,False,True,False,False,False,False,False,False,False
21,True,False,False,False,True,False,False,False,False,False,False,False
22,True,False,False,False,True,False,False,False,False,False,False,False
23,True,False,False,False,True,False,False,False,False,False,False,False
24,True,False,False,False,True,False,False,False,False,False,False,False
25,True,False,False,False,True,False,False,False,False,False,False,False
26,True,False,False,False,True,False,False,False,False,False,False,False
27,True,False,False,False,True,False,False,False,False,False,False,False
28,True,False,False,False,True,False,False,False,False,False,False,False
29,True,False,False,False,True,False,False,False,False,False,False,False
30,True,False,False,False,True,False,False,False,False,False,False,False
31,True,False,False,False,True,False,False,False,False,False,False,False
32,True,False,False,False,True,False,False,False,False,False,False,False
33,True,False,False,False,True,False,False,False,False,False,False,False
34,True,False,False,False,True,False,False,False,False,False,False,False
35,True,False,False,False,True,False,False,False,False,False,False,False
36,True,False,False,False,True,False,False,False,False,False,False,False
37,True,False,False,False,True,False,False,False,False,False,False,False
38,True,False,False,False,True,False,False,False,False,False,False,False
39,True,False,False,False,True,False,False,False,False,False,False,False
40,True,False,False,False,True,False,False,False,False,False,False,False
41,True,False,False,False,True,False,False,False,False,False,False,False
42,True,False,False,False,True,False,False,False,False,False,False,False
43,True,False,False,False,True,False,False,False,False,False,False,False
44,True,False,False,False,True,False,False,False,False,False,False,False
45,True,False,False,False,True,False,False,False,False,False,False,False
46,True,False,False,False,True,False,False,False,False,False,False,False
47,True,False,False,False,True,False,False,False,False,False,False,False
48,True,False,False,False,True,False,False,False,False,False,False,False
49,True,False,False,False,True,False,False,False,False,False,False,False
50,True,False,False,False,True,False,False,False,False,False,False,False
51,True,False,False,False,True,False,False,False,False,False,False,False
52,True,False,False,False,True,False,False,False,False,False,False,False
53,True,False,False,False,True,False,False,False,False,False,False,False
54,True,False,False,False,True,False,False,False,False,False,False,False
55,True,False,False,False,True,False,False,False,False,False,False,False
56,True,False,False,False,True,False,False,False,False,False,False,False
57,True,False,False,False,True,False,False,False,False,False,False,False
58,True,False,False,False,True,False,False,False,False,False,False,False
59,True,False,False,False,True,False,False,False,False,False,False,False
60,True,False,False,False,True,False,False,False,False,False,False,False
61,True,False,False,False,True,False,False,False,False,False,False,False
62,True,False,False,False,True,False,False,False,False,False,False,False
63,True,False,False,False,True,False,False,False,False,False,False,False
64,True,False,False,False,True,False,False,False,False,False,False,False
65,True,False,False,False,True,False,False,False,False,False,False,False
66,True,False,False,False,True,False,False,False,False,False,False,False
67,True,False,False,False,True,False,False,False,False,False,False,False
68,True,False,False,False,True,False,False,False,False,False,False,False
69,True,False,False,False,True,False,False,False,False,False,False,False
70,True,False,False,False,True,False,False,False,False,False,False,False
71,True,False,False,False,True,False,False,False,False,False,False,False
72,True,False,False,False,True,False,False,False,False,False,False,False
73,True,False,False,False,True,False,False,False,False,False,False,False
74,True,False,False,False,True,False,False,False,False,False,False,False
75,True,False,False,False,True,False,False,False,False,False,False,False
76,True,False,False,False,True,False,False,False,False,False,False,False
77,True,False,False,False,True,False,False,False,False,False,False,False
78,True,False,False,False,True,False,False,False,False,False,False,False
79,True,False,False,False,True,False,False,False,False,False,False,False
80,True,False,False,False,True,False,False,False,False,False,False,False
81,True,False,False,False,True,False,False,False,False,False,False,False
82,True,False,False,False,True,False,False,False,False,False,False,False
83,True,False,False,False,True,False,False,False,False,False,False,False
84,True,False,False,False,True,False,False,False,False,False,False,False
85,True,False,False,False,True,False,False,False,False,False,False,False
86,True,False,False,False,True,False,False,False,False,False,False,False
87,True,False,False,False,True,False,False,False,False,False,False,False
88,True,False,False,False,True,False,False,False,False,False,False,False
89,True,False,False,False,True,False,False,False,False,False,False,False
90,True,False,False,False,True,False,False,False,False,False,False,False
91,True,False,False,False,True,False,False,False,False,False,False,False
92,True,False,False,False,True,False,False,False,False,False,False,False
93,True,False,False,False,True,False,False,False,False,False,False,False
94,True,False,False,False,True,False,False,False,False,False,False,False
